row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	90	4.935	0.25	12.032	0.18	1.0	1.0
0	0	87	4.774	0.425	12.161	0.374	1.0	1.0
0	0	84	4.226	0.425	12.613	0.715	1.0	1.0
0	0	81	4.065	0.25	12.774	0.425	1.0	1.0
0	0	78	4.0	0.0	13.097	0.301	1.0	1.0
0	0	75	4.0	0.0	13.516	0.57	1.0	1.0
0	0	72	3.968	0.18	13.935	0.574	1.0	1.0
0	0	69	3.839	0.374	14.516	0.626	1.0	1.0
0	0	66	3.355	0.486	15.032	0.706	1.0	1.0
0	0	63	3.161	0.374	15.903	0.746	1.0	1.0
0	0	60	2.968	0.407	16.968	0.875	1.0	1.0
0	0	57	2.71	0.461	18.065	1.031	1.0	1.0
0	0	54	2.194	0.402	19.71	1.488	1.0	1.0
0	0	51	1.903	0.396	22.032	2.152	1.0	1.0
0	0	48	1.567	0.504	25.774	3.947	0.968	1.0
0	0	45	0.296	0.542	31.273	7.101	0.226	0.355
0	0	42	0.0	0.0	nan	nan	0.0	0.0
0	0	39	0.0	0.0	nan	nan	0.0	0.0
0	0	36	0.0	0.0	nan	nan	0.0	0.0
0	0	33	0.0	0.0	nan	nan	0.0	0.0
0	0	30	0.0	0.0	nan	nan	0.0	0.0
0	0	27	0.0	0.0	nan	nan	0.0	0.0
0	0	24	0.0	0.0	nan	nan	0.0	0.0
0	0	21	0.0	0.0	nan	nan	0.0	0.0
0	0	18	0.0	0.0	nan	nan	0.0	0.0
0	1	90	4.839	0.374	12.935	0.25	1.0	1.0
0	1	87	4.548	0.568	13.097	0.396	1.0	1.0
0	1	84	4.258	0.445	13.323	0.541	1.0	1.0
0	1	81	4.065	0.25	13.839	0.583	1.0	1.0
0	1	78	4.0	0.0	14.29	0.739	1.0	1.0
0	1	75	3.935	0.25	14.516	0.508	1.0	1.0
0	1	72	3.774	0.425	15.452	0.568	1.0	1.0
0	1	69	3.387	0.495	15.968	1.016	1.0	1.0
0	1	66	3.161	0.523	16.935	1.289	1.0	1.0
0	1	63	2.774	0.425	17.806	0.946	1.0	1.0
0	1	60	2.226	0.425	19.226	1.359	1.0	1.0
0	1	57	2.0	0.516	21.032	2.105	1.0	1.0
0	1	54	1.419	0.62	23.267	2.545	0.968	0.968
0	1	51	1.0	0.62	28.808	5.208	0.71	0.839
0	1	48	0.172	0.384	32.143	4.375	0.161	0.226
0	1	45	0.0	0.0	nan	nan	0.0	0.0
0	1	42	0.0	0.0	nan	nan	0.0	0.0
0	1	39	0.0	0.0	nan	nan	0.0	0.0
0	1	36	0.0	0.0	nan	nan	0.0	0.0
0	1	33	0.0	0.0	nan	nan	0.0	0.0
0	1	30	0.0	0.0	nan	nan	0.0	0.0
0	1	27	0.0	0.0	nan	nan	0.0	0.0
0	1	24	0.0	0.0	nan	nan	0.0	0.0
0	1	21	0.0	0.0	nan	nan	0.0	0.0
0	1	18	0.0	0.0	nan	nan	0.0	0.0
0	2	90	4.742	0.445	13.065	0.574	1.0	1.0
0	2	87	4.613	0.495	13.097	0.396	1.0	1.0
0	2	84	4.097	0.301	13.452	0.506	1.0	1.0
0	2	81	4.0	0.0	13.903	0.539	1.0	1.0
0	2	78	3.968	0.18	14.29	0.461	1.0	1.0
0	2	75	4.0	0.0	14.839	0.638	1.0	1.0
0	2	72	3.871	0.341	15.581	0.672	1.0	1.0
0	2	69	3.516	0.508	16.097	0.7	1.0	1.0
0	2	66	3.065	0.25	16.516	0.724	1.0	1.0
0	2	63	2.71	0.461	17.935	0.998	1.0	1.0
0	2	60	2.323	0.475	19.161	0.969	1.0	1.0
0	2	57	1.871	0.428	21.065	1.413	1.0	1.0
0	2	54	1.516	0.508	23.032	1.76	1.0	1.0
0	2	51	1.0	0.643	26.76	3.527	0.774	0.806
0	2	48	0.167	0.379	31.333	4.131	0.161	0.194
0	2	45	0.0	0.0	nan	nan	0.0	0.0
0	2	42	0.0	0.0	nan	nan	0.0	0.0
0	2	39	0.0	0.0	nan	nan	0.0	0.0
0	2	36	0.0	0.0	nan	nan	0.0	0.0
0	2	33	0.0	0.0	nan	nan	0.0	0.0
0	2	30	0.0	0.0	nan	nan	0.0	0.0
0	2	27	0.0	0.0	nan	nan	0.0	0.0
0	2	24	0.0	0.0	nan	nan	0.0	0.0
0	2	21	0.0	0.0	nan	nan	0.0	0.0
0	2	18	0.0	0.0	nan	nan	0.0	0.0
0	3	90	4.677	0.475	12.871	0.499	1.0	1.0
0	3	87	4.484	0.508	13.194	0.477	1.0	1.0
0	3	84	4.065	0.25	13.355	0.486	1.0	1.0
0	3	81	4.0	0.0	14.032	0.407	1.0	1.0
0	3	78	4.0	0.0	14.0	0.365	1.0	1.0
0	3	75	3.935	0.25	14.903	0.651	1.0	1.0
0	3	72	3.742	0.445	15.355	0.551	1.0	1.0
0	3	69	3.226	0.425	16.194	1.167	1.0	1.0
0	3	66	3.226	0.425	16.742	0.682	1.0	1.0
0	3	63	2.742	0.514	17.871	0.885	1.0	1.0
0	3	60	2.097	0.473	19.323	1.4	1.0	1.0
0	3	57	2.032	0.407	20.774	1.087	1.0	1.0
0	3	54	1.323	0.475	23.452	1.964	1.0	1.0
0	3	51	1.097	0.396	26.033	2.785	0.968	0.968
0	3	48	0.071	0.262	34.8	1.789	0.065	0.161
0	3	45	0.0	0.0	nan	nan	0.0	0.0
0	3	42	0.0	0.0	nan	nan	0.0	0.0
0	3	39	0.0	0.0	nan	nan	0.0	0.0
0	3	36	0.0	0.0	nan	nan	0.0	0.0
0	3	33	0.0	0.0	nan	nan	0.0	0.0
0	3	30	0.0	0.0	nan	nan	0.0	0.0
0	3	27	0.0	0.0	nan	nan	0.0	0.0
0	3	24	0.0	0.0	nan	nan	0.0	0.0
0	3	21	0.0	0.0	nan	nan	0.0	0.0
0	3	18	0.0	0.0	nan	nan	0.0	0.0
0	4	90	4.71	0.461	12.871	0.341	1.0	1.0
0	4	87	4.419	0.502	13.129	0.341	1.0	1.0
0	4	84	4.161	0.374	13.484	0.508	1.0	1.0
