col	row	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
3	3	100	5.0	0.0	11.613	0.495	1.0	1.0
3	3	97	4.935	0.25	11.903	0.301	1.0	1.0
3	3	94	4.742	0.445	11.968	0.315	1.0	1.0
3	3	91	4.548	0.506	12.032	0.407	1.0	1.0
3	3	88	4.29	0.529	12.258	0.445	1.0	1.0
3	3	85	3.968	0.18	12.645	0.798	1.0	1.0
3	3	82	4.0	0.0	12.871	0.341	1.0	1.0
3	3	79	4.0	0.0	13.065	0.25	1.0	1.0
3	3	76	4.0	0.0	13.29	0.461	1.0	1.0
3	3	73	3.742	0.445	13.871	0.562	1.0	1.0
3	3	70	3.419	0.564	14.548	1.312	1.0	1.0
3	3	67	3.097	0.301	15.065	0.814	1.0	1.0
3	3	64	2.968	0.315	16.258	1.032	1.0	1.0
3	3	61	2.871	0.341	16.581	1.259	1.0	1.0
3	3	58	2.645	0.486	18.129	1.204	1.0	1.0
3	3	55	2.032	0.315	20.065	1.59	1.0	1.0
3	3	52	1.871	0.428	22.742	2.863	1.0	1.0
3	3	49	1.133	0.629	27.37	5.093	0.839	0.871
3	3	46	0.172	0.384	33.0	7.506	0.161	0.226
3	3	43	0.0	0.0	38.0	0.0	0.0	0.032
3	3	40	0.0	0.0	nan	nan	0.0	0.0
3	3	37	0.0	0.0	nan	nan	0.0	0.0
3	3	34	0.0	0.0	nan	nan	0.0	0.0
3	3	31	0.0	0.0	nan	nan	0.0	0.0
3	3	28	0.0	0.0	nan	nan	0.0	0.0
3	4	100	5.0	0.0	11.484	0.508	1.0	1.0
3	4	97	4.968	0.18	11.677	0.541	1.0	1.0
3	4	94	4.903	0.301	12.0	0.258	1.0	1.0
3	4	91	4.548	0.506	11.935	0.359	1.0	1.0
3	4	88	4.065	0.25	12.258	0.445	1.0	1.0
3	4	85	4.032	0.18	12.581	0.502	1.0	1.0
3	4	82	4.0	0.0	12.677	0.653	1.0	1.0
3	4	79	3.968	0.18	12.968	0.547	1.0	1.0
3	4	76	4.0	0.0	13.484	0.926	1.0	1.0
3	4	73	3.806	0.402	14.161	0.82	1.0	1.0
3	4	70	3.645	0.486	14.452	0.723	1.0	1.0
3	4	67	3.194	0.402	15.032	0.605	1.0	1.0
3	4	64	3.065	0.25	15.903	0.7	1.0	1.0
3	4	61	2.968	0.18	16.742	1.064	1.0	1.0
3	4	58	2.516	0.57	18.0	1.342	1.0	1.0
3	4	55	2.161	0.374	20.161	1.828	1.0	1.0
3	4	52	1.733	0.45	23.097	3.187	0.968	1.0
3	4	49	1.067	0.828	26.364	4.112	0.677	0.71
3	4	46	0.036	0.189	35.25	0.957	0.032	0.129
3	4	43	0.0	0.0	nan	nan	0.0	0.0
3	4	40	0.0	0.0	nan	nan	0.0	0.0
3	4	37	0.0	0.0	nan	nan	0.0	0.0
3	4	34	0.0	0.0	nan	nan	0.0	0.0
3	4	31	0.0	0.0	nan	nan	0.0	0.0
3	4	28	0.0	0.0	nan	nan	0.0	0.0
3	5	100	5.0	0.0	11.677	0.475	1.0	1.0
3	5	97	4.968	0.18	11.742	0.445	1.0	1.0
3	5	94	4.839	0.374	12.0	0.258	1.0	1.0
3	5	91	4.29	0.461	12.065	0.359	1.0	1.0
3	5	88	4.097	0.301	12.161	0.454	1.0	1.0
3	5	85	4.097	0.301	12.645	0.551	1.0	1.0
3	5	82	3.935	0.25	12.871	0.428	1.0	1.0
3	5	79	4.0	0.0	13.032	0.315	1.0	1.0
3	5	76	3.968	0.18	13.484	0.508	1.0	1.0
3	5	73	3.903	0.301	14.065	0.68	1.0	1.0
3	5	70	3.355	0.486	14.516	0.626	1.0	1.0
3	5	67	3.226	0.425	15.0	0.258	1.0	1.0
3	5	64	3.0	0.258	16.065	0.929	1.0	1.0
3	5	61	2.935	0.25	16.903	0.978	1.0	1.0
3	5	58	2.613	0.558	18.387	1.726	1.0	1.0
3	5	55	2.065	0.512	19.806	1.797	1.0	1.0
3	5	52	1.839	0.454	23.387	3.667	1.0	1.0
3	5	49	1.103	0.772	28.833	4.949	0.71	0.774
3	5	46	0.036	0.189	34.5	6.455	0.032	0.129
3	5	43	0.0	0.0	nan	nan	0.0	0.0
3	5	40	0.0	0.0	nan	nan	0.0	0.0
3	5	37	0.0	0.0	nan	nan	0.0	0.0
3	5	34	0.0	0.0	nan	nan	0.0	0.0
3	5	31	0.0	0.0	nan	nan	0.0	0.0
3	5	28	0.0	0.0	nan	nan	0.0	0.0
3	6	100	5.0	0.0	11.548	0.506	1.0	1.0
3	6	97	4.935	0.25	11.774	0.425	1.0	1.0
3	6	94	4.903	0.301	11.935	0.25	1.0	1.0
3	6	91	4.387	0.495	12.097	0.396	1.0	1.0
3	6	88	4.129	0.341	12.194	0.543	1.0	1.0
3	6	85	4.032	0.18	12.548	0.506	1.0	1.0
3	6	82	4.0	0.0	12.806	0.402	1.0	1.0
3	6	79	4.0	0.0	13.258	0.445	1.0	1.0
3	6	76	4.0	0.0	13.581	0.502	1.0	1.0
3	6	73	3.742	0.445	14.097	0.7	1.0	1.0
3	6	70	3.613	0.495	14.419	0.62	1.0	1.0
3	6	67	3.097	0.301	15.323	0.748	1.0	1.0
3	6	64	2.968	0.18	16.129	1.231	1.0	1.0
3	6	61	2.935	0.25	16.968	0.836	1.0	1.0
3	6	58	2.645	0.486	18.032	1.169	1.0	1.0
3	6	55	2.032	0.18	20.806	1.662	1.0	1.0
3	6	52	1.742	0.514	23.0	4.008	1.0	1.0
3	6	49	0.893	0.737	28.727	5.338	0.613	0.71
3	6	46	0.0	0.0	42.0	2.828	0.0	0.065
3	6	43	0.0	0.0	nan	nan	0.0	0.0
3	6	40	0.0	0.0	nan	nan	0.0	0.0
3	6	37	0.0	0.0	nan	nan	0.0	0.0
3	6	34	0.0	0.0	nan	nan	0.0	0.0
3	6	31	0.0	0.0	nan	nan	0.0	0.0
3	6	28	0.0	0.0	nan	nan	0.0	0.0
3	7	100	5.0	0.0	11.548	0.506	1.0	1.0
3	7	97	4.935	0.25	11.774	0.425	1.0	1.0
3	7	94	4.677	0.475	11.935	0.25	1.0	1.0
3	7	91	4.387	0.495	12.065	0.359	1.0	1.0
3	7	88	4.258	0.445	12.097	0.301	1.0	1.0
3	7	85	4.0	0.0	12.548	0.723	1.0	1.0
3	7	82	4.0	0.0	12.871	0.341	1.0	1.0
3	7	79	4.0	0.0	13.194	0.477	1.0	1.0
3	7	76	3.935	0.25	13.645	0.709	1.0	1.0
3	7	73	3.742	0.445	13.839	0.523	1.0	1.0
3	7	70	3.484	0.508	14.581	0.765	1.0	1.0
3	7	67	3.226	0.425	15.194	0.792	1.0	1.0
