col	row	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
3	3	100	2.0	0.0	20.677	0.599	1.0	1.0
3	3	97	1.935	0.25	21.452	0.506	1.0	1.0
3	3	94	1.452	0.506	22.258	0.93	1.0	1.0
3	3	91	1.29	0.461	23.645	1.603	1.0	1.0
3	3	88	1.032	0.315	25.533	2.417	0.968	0.968
3	3	85	0.581	0.502	28.278	2.244	0.581	0.581
3	3	82	0.065	0.25	28.5	2.121	0.065	0.065
3	3	79	0.0	0.0	nan	nan	0.0	0.0
3	3	76	0.0	0.0	nan	nan	0.0	0.0
3	3	73	0.0	0.0	nan	nan	0.0	0.0
3	3	70	0.0	0.0	nan	nan	0.0	0.0
3	3	67	0.0	0.0	nan	nan	0.0	0.0
3	3	64	0.0	0.0	nan	nan	0.0	0.0
3	3	61	0.0	0.0	nan	nan	0.0	0.0
3	3	58	0.0	0.0	nan	nan	0.0	0.0
3	3	55	0.0	0.0	nan	nan	0.0	0.0
3	3	52	0.0	0.0	nan	nan	0.0	0.0
3	3	49	0.0	0.0	nan	nan	0.0	0.0
3	3	46	0.0	0.0	nan	nan	0.0	0.0
3	3	43	0.0	0.0	nan	nan	0.0	0.0
3	3	40	0.0	0.0	nan	nan	0.0	0.0
3	3	37	0.0	0.0	nan	nan	0.0	0.0
3	3	34	0.0	0.0	nan	nan	0.0	0.0
3	3	31	0.0	0.0	nan	nan	0.0	0.0
3	3	28	0.0	0.0	nan	nan	0.0	0.0
3	4	100	0.0	0.0	nan	nan	0.0	0.0
3	4	97	0.0	0.0	nan	nan	0.0	0.0
3	4	94	0.0	0.0	nan	nan	0.0	0.0
3	4	91	0.0	0.0	nan	nan	0.0	0.0
3	4	88	0.0	0.0	nan	nan	0.0	0.0
3	4	85	0.0	0.0	nan	nan	0.0	0.0
3	4	82	0.0	0.0	nan	nan	0.0	0.0
3	4	79	0.0	0.0	nan	nan	0.0	0.0
3	4	76	0.0	0.0	nan	nan	0.0	0.0
3	4	73	0.0	0.0	nan	nan	0.0	0.0
3	4	70	0.0	0.0	nan	nan	0.0	0.0
3	4	67	0.0	0.0	nan	nan	0.0	0.0
3	4	64	0.0	0.0	nan	nan	0.0	0.0
3	4	61	0.0	0.0	nan	nan	0.0	0.0
3	4	58	0.0	0.0	nan	nan	0.0	0.0
3	4	55	0.0	0.0	nan	nan	0.0	0.0
3	4	52	0.0	0.0	nan	nan	0.0	0.0
3	4	49	0.0	0.0	nan	nan	0.0	0.0
3	4	46	0.0	0.0	nan	nan	0.0	0.0
3	4	43	0.0	0.0	nan	nan	0.0	0.0
3	4	40	0.0	0.0	nan	nan	0.0	0.0
3	4	37	0.0	0.0	nan	nan	0.0	0.0
3	4	34	0.0	0.0	nan	nan	0.0	0.0
3	4	31	0.0	0.0	nan	nan	0.0	0.0
3	4	28	0.0	0.0	nan	nan	0.0	0.0
