row	col	voltage	tot_avg	tot_std	toa_avg	toa_std	efficiency_tot	efficiency_toa
0	0	100	5.71	0.461	15.806	0.477	1.0	1.0
0	0	97	5.452	0.506	15.935	0.512	1.0	1.0
0	0	94	5.065	0.25	16.258	0.575	1.0	1.0
0	0	91	5.0	0.0	16.581	0.72	1.0	1.0
0	0	88	4.968	0.18	17.194	0.654	1.0	1.0
0	0	85	4.871	0.341	17.419	0.72	1.0	1.0
0	0	82	4.548	0.568	18.129	0.846	1.0	1.0
0	0	79	4.0	0.577	18.581	0.958	1.0	1.0
0	0	76	3.355	0.551	19.323	0.748	1.0	1.0
0	0	73	3.0	0.0	20.161	1.068	1.0	1.0
0	0	70	3.0	0.0	21.097	1.165	1.0	1.0
0	0	67	3.032	0.18	21.645	1.33	1.0	1.0
0	0	64	2.968	0.18	23.161	1.485	1.0	1.0
0	0	61	2.806	0.402	24.677	1.759	1.0	1.0
0	0	58	2.355	0.551	28.452	2.896	1.0	1.0
0	0	55	1.968	0.482	30.871	3.019	1.0	1.0
0	0	52	1.2	0.761	35.269	5.835	0.806	0.839
0	0	49	0.161	0.374	34.8	4.147	0.161	0.161
0	0	46	0.0	0.0	44.0	0.0	0.0	0.032
0	0	43	0.0	0.0	nan	nan	0.0	0.0
0	0	40	0.0	0.0	nan	nan	0.0	0.0
0	0	37	0.0	0.0	nan	nan	0.0	0.0
0	0	34	0.0	0.0	nan	nan	0.0	0.0
0	0	31	0.0	0.0	nan	nan	0.0	0.0
0	0	28	0.0	0.0	nan	nan	0.0	0.0
1	0	100	3.645	0.551	18.355	0.709	1.0	1.0
1	0	97	3.226	0.497	18.548	0.723	1.0	1.0
1	0	94	3.0	0.365	19.355	0.985	1.0	1.0
1	0	91	2.839	0.374	19.968	1.048	1.0	1.0
1	0	88	2.548	0.506	20.677	1.137	1.0	1.0
1	0	85	2.258	0.445	21.129	0.67	1.0	1.0
1	0	82	2.0	0.0	22.419	1.689	1.0	1.0
1	0	79	2.0	0.0	23.129	1.176	1.0	1.0
1	0	76	1.935	0.25	24.323	1.815	1.0	1.0
1	0	73	1.935	0.25	26.484	1.964	1.0	1.0
