row	col	t_up_tuner	tdac_tuner
0	0	1	7
0	1	0	10
0	2	1	3
0	3	0	8
0	4	1	7
0	5	1	6
0	6	1	14
0	7	0	11
1	0	0	7
1	1	1	4
1	2	0	10
1	3	1	7
1	4	1	8
1	5	0	10
1	6	1	7
1	7	1	6
2	0	1	8
2	1	0	2
2	2	0	7
2	3	0	11
2	4	0	10
2	5	0	10
2	6	1	5
2	7	0	13
3	0	0	2
3	1	1	2
3	2	0	0
3	3	0	0
3	4	1	10
3	5	0	11
3	6	0	12
3	7	0	8
4	0	0	0
4	1	1	11
4	2	1	6
4	3	1	1
4	4	1	13
4	5	1	4
4	6	1	5
4	7	0	6
5	0	1	4
5	1	0	15
5	2	0	4
5	3	0	12
5	4	1	5
5	5	0	6
5	6	0	2
5	7	0	11
6	0	1	3
6	1	0	1
6	2	1	4
6	3	1	6
6	4	1	5
6	5	0	6
6	6	1	7
6	7	1	3
7	0	1	12
7	1	1	7
7	2	0	3
7	3	1	1
7	4	1	7
7	5	0	7
7	6	1	3
7	7	0	5
8	0	1	6
8	1	1	2
8	2	0	3
8	3	0	5
8	4	1	12
8	5	0	5
8	6	0	1
8	7	1	8
9	0	1	4
9	1	0	8
9	2	1	9
9	3	1	16
9	4	1	1
9	5	0	5
9	6	0	5
9	7	1	0
10	0	1	2
10	1	1	4
10	2	1	6
10	3	1	11
10	4	0	8
10	5	1	11
10	6	1	4
10	7	0	9
11	0	1	5
11	1	1	8
11	2	0	9
11	3	1	6
11	4	0	5
11	5	0	6
11	6	1	3
11	7	1	2
12	0	1	7
12	1	0	11
12	2	1	5
12	3	0	13
12	4	0	2
12	5	1	9
12	6	1	4
12	7	0	4
13	0	0	8
13	1	0	2
13	2	0	5
13	3	0	13
13	4	1	3
13	5	0	20
13	6	1	1
13	7	0	11
14	0	0	2
14	1	0	6
14	2	0	9
14	3	1	7
14	4	1	4
14	5	0	7
14	6	1	10
14	7	1	1
15	0	0	10
15	1	0	4
15	2	1	6
15	3	0	11
15	4	1	1
15	5	1	7
15	6	0	16
15	7	1	10
16	0	1	9
16	1	1	1
16	2	1	6
16	3	1	0
16	4	1	5
16	5	0	23
16	6	1	17
16	7	1	5
17	0	1	7
17	1	1	8
17	2	0	0
17	3	0	5
17	4	1	1
17	5	1	16
17	6	0	11
17	7	0	0
18	0	1	3
18	1	0	13
18	2	0	5
18	3	0	15
18	4	1	8
18	5	0	5
18	6	0	1
18	7	0	11
19	0	1	17
19	1	1	4
19	2	0	5
19	3	0	16
19	4	1	10
19	5	0	14
19	6	1	4
19	7	0	1
20	0	1	8
20	1	1	4
20	2	0	5
20	3	0	2
20	4	0	8
20	5	1	4
20	6	1	4
20	7	1	1
21	0	0	3
21	1	0	13
21	2	0	2
21	3	1	2
21	4	0	1
21	5	1	7
21	6	1	1
21	7	0	10
22	0	1	13
22	1	1	8
22	2	1	1
22	3	1	11
22	4	0	0
22	5	1	7
22	6	0	4
22	7	1	6
23	0	1	5
23	1	0	15
23	2	0	1
23	3	1	10
23	4	0	8
23	5	1	0
23	6	1	1
23	7	1	8
24	0	0	1
24	1	0	8
24	2	1	1
24	3	0	10
24	4	1	7
24	5	1	0
24	6	1	7
24	7	1	8
25	0	1	18
25	1	0	20
25	2	1	4
25	3	0	14
25	4	1	7
25	5	0	4
25	6	1	10
25	7	1	2
26	0	1	8
26	1	1	5
26	2	1	7
26	3	0	5
26	4	1	2
26	5	0	1
26	6	0	1
26	7	1	6
27	0	0	10
27	1	1	9
27	2	0	3
27	3	0	0
27	4	1	10
27	5	0	6
27	6	0	3
27	7	1	7
28	0	0	1
28	1	0	5
28	2	1	5
28	3	1	10
28	4	1	3
28	5	0	3
28	6	1	3
28	7	1	3
29	0	0	10
29	1	1	4
29	2	1	7
29	3	1	11
29	4	0	9
29	5	1	4
29	6	1	11
29	7	0	8
30	0	1	0
30	1	0	5
30	2	0	3
30	3	0	14
30	4	1	4
30	5	0	3
30	6	1	3
30	7	1	7
31	0	0	18
31	1	1	1
31	2	0	2
31	3	0	6
31	4	0	6
31	5	1	4
31	6	1	3
31	7	0	1
